SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Probability,Actual_Churn,Risk_Segment
0,1,1,21,1,0,19.8,350.1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.005,0,Low Risk
0,1,0,51,1,0,69.15,3649.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.1336732339368122,0,Low Risk
1,1,0,16,1,1,54.55,825.1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.165,0,Low Risk
0,0,0,22,1,0,89.25,1907.85,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.475,1,Medium Risk
0,1,0,13,1,1,102.25,1359.0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.61,1,Medium Risk
0,0,1,43,1,1,25.1,1070.15,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.03,0,Low Risk
0,0,0,3,1,1,89.45,240.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.665,1,Medium Risk
1,0,0,54,1,1,90.05,4931.8,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.44,0,Medium Risk
0,0,1,1,0,0,24.2,24.2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.285,0,Low Risk
0,1,1,69,1,1,20.55,1403.1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.0,0,Low Risk
0,0,0,62,1,0,23.4,1429.65,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.01,0,Low Risk
0,0,0,2,1,1,90.4,168.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.89,1,High Risk
1,1,1,62,1,1,96.1,6019.35,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0.195,0,Low Risk
1,0,0,2,1,0,44.95,85.15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.65,1,Medium Risk
0,1,1,69,1,0,19.9,1356.7,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0,Low Risk
0,0,0,1,1,1,74.5,74.5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.965,1,High Risk
0,0,0,31,1,1,55.25,1715.65,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.08,1,Low Risk
1,0,0,69,1,0,20.3,1356.3,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.0,0,Low Risk
0,1,0,2,1,1,91.45,171.45,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.855,0,High Risk
0,0,0,33,1,1,70.4,2406.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.625,0,Medium Risk
0,1,0,3,1,1,19.6,55.25,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.055,0,Low Risk
0,0,0,44,1,0,65.4,2774.55,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,0.05,0,Low Risk
0,0,0,10,1,1,110.1,1043.3,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0.505,1,Medium Risk
0,0,0,8,1,1,75.25,576.7,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.32,0,Low Risk
0,0,0,8,1,1,66.65,520.95,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0.06,0,Low Risk
0,1,1,69,1,1,20.35,1442.65,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.005,0,Low Risk
0,0,0,23,1,0,75.6,1758.6,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.305,1,Low Risk
0,0,0,66,1,0,25.1,1697.7,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0,Low Risk
0,1,1,1,1,1,102.45,102.45,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.745,1,High Risk
0,0,0,3,1,0,19.95,58.0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.025,0,Low Risk
0,0,1,5,1,1,51.0,286.8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.35,0,Low Risk
0,0,1,1,1,0,51.2,51.2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.29,0,Low Risk
0,0,0,9,1,1,77.65,714.15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.52,1,Medium Risk
0,1,1,36,1,1,63.7,2188.5,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,0.075,0,Low Risk
0,1,1,68,1,1,85.5,5696.6,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06,0,Low Risk
0,1,1,35,0,0,40.9,1383.6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,0.075,0,Low Risk
0,1,1,60,1,0,20.55,1205.05,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0,Low Risk
0,1,1,72,1,0,74.55,5430.65,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,0.005,0,Low Risk
0,0,0,45,1,1,20.4,930.45,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0.0,1,Low Risk
0,1,1,37,1,0,91.2,3247.55,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.195,0,Low Risk
0,1,1,7,1,0,50.7,350.35,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.135,0,Low Risk
0,0,0,4,1,0,50.7,151.3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.415,1,Medium Risk
0,0,0,1,1,1,54.9,54.9,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.565,1,Medium Risk
0,0,0,4,1,1,60.4,272.15,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.255,1,Low Risk
0,1,0,18,1,1,49.55,878.35,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.03,1,Low Risk
0,0,0,12,1,0,74.05,872.65,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,0.105,1,Low Risk
0,1,1,1,1,1,80.05,80.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.765,1,High Risk
0,1,1,72,1,0,25.0,1738.9,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0,Low Risk
0,1,0,42,1,0,20.25,835.5,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.0,0,Low Risk
1,0,0,24,1,1,76.1,1712.7,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.51,1,Medium Risk
0,1,1,26,1,0,78.95,2034.25,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.115,0,Low Risk
0,1,1,68,1,1,73.0,5163.0,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,0.11,0,Low Risk
0,0,0,17,1,0,19.9,323.15,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.065,0,Low Risk
0,1,1,59,1,1,111.1,6555.2,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,0.09,0,Low Risk
0,1,1,13,1,1,74.4,896.75,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.475,1,Medium Risk
0,0,0,2,1,1,20.45,42.45,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.0,0,Low Risk
0,1,0,67,1,0,19.65,1335.2,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0,Low Risk
0,0,0,17,1,0,20.05,337.9,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.005,0,Low Risk
0,1,0,71,1,1,80.1,5585.4,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,0.0,0,Low Risk
0,1,1,17,1,0,98.6,1704.95,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,0.3,1,Low Risk
0,0,0,1,1,1,89.55,89.55,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.42,1,Medium Risk
0,1,1,6,1,0,19.7,94.45,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.105,0,Low Risk
0,1,0,61,1,1,114.1,7132.15,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0.29,0,Low Risk
0,0,0,6,1,1,73.85,401.3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.78,0,High Risk
1,0,0,1,0,0,25.05,25.05,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.76,1,High Risk
0,1,1,21,1,1,102.8,2110.15,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0.51,1,Medium Risk
0,1,0,60,1,1,110.8,6640.7,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.07,0,Low Risk
1,0,0,20,1,1,85.8,1727.5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.565,1,Medium Risk
0,1,0,22,1,0,95.9,2234.95,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.3,0,Low Risk
0,0,0,40,1,1,20.6,827.3,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0,Low Risk
0,0,0,23,1,1,74.95,1710.45,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.49,1,Medium Risk
0,0,1,1,1,0,45.95,45.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.345,1,Low Risk
0,0,0,46,0,0,38.25,1755.35,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,0.03,0,Low Risk
0,1,1,5,1,0,69.95,320.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.36,0,Low Risk
1,0,0,68,1,1,20.0,1396.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.005,0,Low Risk
1,0,0,1,0,1,25.2,25.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.92,1,High Risk
0,1,0,2,1,0,20.1,43.15,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.105,0,Low Risk
1,0,0,14,1,1,104.85,1531.4,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.735,1,High Risk
0,0,0,10,1,1,70.0,740.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.465,1,Medium Risk
0,0,1,13,1,1,78.3,1033.95,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.49,0,Medium Risk
0,0,0,34,1,1,109.8,3587.25,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,0.345,1,Low Risk
0,1,1,18,1,0,57.45,990.85,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.285,1,Low Risk
0,1,1,71,1,0,19.7,1301.1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.005,0,Low Risk
0,1,0,70,1,1,110.5,7752.05,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.035,0,Low Risk
0,1,0,52,1,1,64.3,3410.6,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,0.0,0,Low Risk
0,1,1,68,1,1,105.25,7173.15,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0.05,0,Low Risk
0,1,1,38,1,0,19.6,717.3,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.05,0,Low Risk
0,1,1,58,1,1,24.5,1497.9,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.005,0,Low Risk
0,0,0,3,1,0,90.7,237.65,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.6032429679542427,0,Medium Risk
0,1,0,14,1,0,48.8,664.4,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.265,0,Low Risk
0,0,0,2,0,1,24.9,49.7,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.605,0,Medium Risk
0,1,0,1,0,1,24.8,24.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.595,1,Medium Risk
1,0,0,72,1,1,107.4,7748.75,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,0.02,0,Low Risk
0,0,0,3,1,1,43.3,123.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.65,1,Medium Risk
0,0,0,13,1,1,80.0,1029.35,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.255,0,Low Risk
1,1,1,72,1,1,104.1,7447.7,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.025,0,Low Risk
0,1,0,58,1,0,20.75,1185.95,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.01,0,Low Risk
1,1,0,71,1,1,95.5,6707.15,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0.04,0,Low Risk
0,0,0,1,1,0,76.35,76.35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.59,1,Medium Risk
0,1,1,54,1,0,91.3,4965.0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.01,0,Low Risk
0,0,1,39,0,0,45.05,1790.6,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.045,0,Low Risk
0,0,0,1,1,1,70.6,70.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.835,1,High Risk
0,1,0,61,1,1,80.8,4860.85,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,0.01,0,Low Risk
0,1,1,25,1,1,89.15,2257.75,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,0.405,1,Medium Risk
0,0,0,37,1,0,91.2,3382.3,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.24,0,Low Risk
1,0,0,26,1,1,91.25,2351.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.555,1,Medium Risk
0,0,0,10,1,0,19.75,208.25,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0.02,0,Low Risk
0,0,0,1,1,0,20.4,20.4,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.030605827466305774,1,Low Risk
1,1,0,24,0,1,40.65,933.3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.335,1,Low Risk
1,0,0,65,1,1,110.35,7246.15,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,0.24,0,Low Risk
0,0,0,23,1,1,64.9,1509.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0.175,0,Low Risk
0,0,0,49,1,1,66.15,3199.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,0.02,0,Low Risk
1,0,0,42,1,0,55.65,2421.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.17,0,Low Risk
0,0,0,8,1,0,20.85,161.65,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.038264799466086165,0,Low Risk
0,0,0,28,1,0,54.65,1517.5,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.03,0,Low Risk
0,0,0,71,1,0,80.6,5708.2,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,0.0,0,Low Risk
0,1,1,69,1,1,99.45,7007.6,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.355,1,Low Risk
0,1,1,68,1,1,114.7,7849.85,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.085,0,Low Risk
0,1,0,64,1,1,105.4,6794.75,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0.025,0,Low Risk
1,0,0,3,1,0,75.05,202.9,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.4939226334979103,0,Medium Risk
0,1,1,66,1,1,49.4,3251.85,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.18,0,Low Risk
0,0,0,28,1,0,18.25,534.7,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.0,0,Low Risk
0,1,0,67,1,1,111.05,7321.05,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.055,0,Low Risk
0,1,0,46,1,0,19.6,851.2,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.05,0,Low Risk
0,1,0,55,1,1,96.75,5238.9,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.305,1,Low Risk
0,0,0,22,1,1,69.7,1490.4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.29,0,Low Risk
0,1,1,18,1,1,87.9,1500.5,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0.44,0,Medium Risk
0,1,0,46,0,0,40.4,1842.7,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0.05,0,Low Risk
0,1,0,10,1,1,78.15,765.15,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.555,0,Medium Risk
0,1,0,72,1,1,99.4,7285.7,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,0.14,0,Low Risk
0,0,0,16,1,0,55.3,875.35,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.37,0,Low Risk
1,0,0,3,1,1,77.0,237.75,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.93,1,High Risk
0,1,1,21,0,1,26.05,565.75,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.32,0,Low Risk
0,0,0,5,1,0,78.75,426.35,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.6032429679542427,0,Medium Risk
0,0,0,1,0,0,29.95,29.95,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29,1,Low Risk
0,0,0,1,1,1,45.4,45.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.24,1,Low Risk
1,1,0,36,1,1,85.25,3132.75,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.52,1,Medium Risk
0,1,0,64,1,1,104.05,6605.55,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0.075,0,Low Risk
1,1,0,30,1,0,74.85,2181.75,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,0.115,0,Low Risk
0,1,1,72,1,0,19.55,1463.45,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.005,0,Low Risk
0,1,1,46,1,1,20.1,936.85,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0,Low Risk
0,1,0,45,1,1,95.2,4285.8,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.035,0,Low Risk
0,0,0,2,1,0,20.65,38.7,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.0229029316874737,1,Low Risk
0,0,0,34,1,0,55.0,1885.15,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0.015,0,Low Risk
0,1,0,54,1,0,106.55,5763.3,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,0.27,1,Low Risk
0,0,0,21,1,1,19.95,416.4,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.08,0,Low Risk
0,1,0,65,1,0,76.15,4929.55,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0.03,0,Low Risk
0,1,0,20,1,1,69.8,1540.35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.53,0,Medium Risk
0,0,0,1,1,1,79.5,79.5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.99,1,High Risk
0,1,1,42,1,1,69.4,3058.3,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.035,0,Low Risk
